survey_id,type,question,options
1,dropdown,Choose product: ,"""Product1"", ""Product2"", ""Product3"""
1,radiobutton,Would you recommend the product?,"""Would recommend"", ""Would not recommend"""
1,checkboxes,Which of the following words would you use to describe our products?,"""Reliable"",""High Quality"",""Usefull"", ""Impractical"",""Poor quality"""
1,radiobutton,How likely are you to purchase any of our products again?,"""Extremely likely"", ""Somewhat likely"", ""Not likely"""
1,radiobutton,How would you rate the value for money of the product?,"""Excellent"", ""Above average"", ""Average"", ""Below average"", ""Poor"""
2,dropdown,What's your gender?,"""Male"",""Female"",""Alien"""
2,radiobutton,What's your usual way to move around the city?,"""On foot"",""Public Bicycle"",""Own a bicycle"""
2,checkboxes,Do you own a bicycle?,"""None"", ""1-2"", ""3+"""
2,radiobutton,How often do you use your bicycle?,"""1-3 days a week"",""4+ days a week"",""Couple times a month"""
2,checkboxes,What infrastructure do you think the city is lacking?,"""Bike-lanes"",""Public bike stations"",""Secure bike-parking"""
3,radiobutton,"""Quiz question 1""","""Answer1"",""Answer2"""
3,radiobutton,"""Quiz question 2""","""Answer1"",""Answer2"""
3,radiobutton,"""Quiz question 3""","""Answer1"",""Answer2"""
3,radiobutton,"""Quiz question 4""","""Answer1"",""Answer2"""
